name,island,site_score,iconic_species_score,biodiversity_score,striking_vistas_score,snorkel_quality_score,beach_quality_score,landing,difficulty,wildlife_sightings,description,image_url
"Santa Cruz Island, Cerro Dragon",Santa Cruz,54,57,51,64,50,47,,,"Flamingo,Land Iguana,Mockingbirds,Rays,Sharks","The 3km/2mile trail leads through dry-zone vegetation to a small hill where the land iguanas thrive. The area is home to Galapagos mockingbirds, Darwin´s finches, varieties of the endemic Opuntia and candelabra cactus, and Galapagos cotton. Green turtles, sharks, and rays may be spotted on the panga ride, while black-necked stilts, white cheeked pintails, and migratory shorebirds are often seen. Difficulty: Easy/moderate. Landing: Dry","https://www.galapagosadvisor.com/media/1101/sta-x-cerro-dragon.jpg?crop=0.074635117204776558,0,0.096085802742150492,0.01592215833702023&cropmode=percentage&width=400&height=267&rnd=131867312730000000"
"Santa Cruz Island, Darwin Station - Tortoise Centre",Santa Cruz,53,65,53,40,,,No Landing,Easy,Mockingbirds,"The Station is about a ten-minute walk from the center of Puerto Ayora. It has its own staff scientists but also hosts visiting scientists from around the world. The archipelago's first tortoise breeding centre is next door, along with land iguana pens. An open air rest area serves cold drinks and snacks. Visit the station's new ""mini-museum"" and buy a t-shirt to support the station's work. Landing: No Landing. Difficulty: Easy .",https://www.galapagosadvisor.com/media/1137/sta-x-darwin-station.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Floreana Island, Baroness' lookout",Floreana,51,35,38,70,,60,Wet,Easy,,"This is a basaltic tuff formation located between Cormorant Point and Post Office Bay, with impressive panoramic views. Named after Eloise Wagner-Bosquet, an Austrian Baroness who arrived to Floreana in the mid 30s and mysteriously disappeared with one of her three lovers, it’s a great place to observe the Palo Santo and Mangrove forests, as well as the coastline from the Enderby Island to Post Office Bay. Landing: Wet Difficulty: Easy",https://www.galapagosadvisor.com/media/1179/flor-baronness.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"Isabela Island, Villamil Tortoise Centre",Isabela,50,80,37,34,,,N/A,Easy,,"There is a 1.6km (1 mile) interpretive trail that leads from town, goes past the lagoons, and ends at the Tortoise Center. This well laid-out breeding centre, with plenty of shade, houses tortoises from the populations of southern Isabela. Landing: N/A. Difficulty: Easy",https://www.galapagosadvisor.com/media/1166/isa-tortoise-centre.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santiago Island, Espumilla Beach",Santiago,49,41,46,53,48,55,Wet,Easy,,"This beach is fringed by beautiful palo santo forest and is a sea turtle nesting site. It is a good place to see marine iguanas and colorful Sally Lightfoot crabs and it is an excellent place to snorkel and see octopi, moray eels, and sharks. Take a loop trail inland to a seasonal lagoon where flamingos are sometimes spotted. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1126/santiago-espumilla.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
Bainbridge Rocks,Bainbridge Rocks,47,65,40,35,,,,,Flamingo,"The Bainbridge Rocks are a remote chain of small rocky islets off the southeastern coast of Santiago Island, formed by the fusion of seven volcanic cones reaching out from the ocean floor. One of these islets is a volcanic crater made up of compacted volcanic ash, which as formed a breath-taking turquoise salt-water lake due to the permeation of seawater through the walls of the eroded crater, which attracts flamingos by the flocks during their annual migration. Difficulty: Easy Landing: N/A",https://www.galapagosadvisor.com/media/1196/bainbridge-rocks-crater-2.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131782501830000000
"San Cristóbal Island, El Junco",San Cristóbal,47,34,39,67,,,None,Easy,,"From town, you may take a taxi or a bus to the highlands to see the largest freshwater lake in the Galápagos, El Junco. Located about 125 metres (400 feet) above sea level, the lake is surrounded by ferns and sedges and hosts a variety of birdlife including white-cheeked pintails and common gallinules. The name El Junco comes from the junco plant, which is common in the area. Landing: None. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1153/san-crist-junco.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santa Cruz Island, El Eden Islet",Santa Cruz,44,55,58,59,5,,Panga ride,Easy,"Rays,Sea turtles,Sharks","A highly eroded volcanic tuff cone just off the coast of Santa Cruz island - typically visited via panga ride. It is common to spot blue footed boobies diving for prey, and sea turtles, rays and sharks in the waters below, near red-mangrove shores. Landing: Panga ride. Difficulty: Easy",https://www.galapagosadvisor.com/media/1134/sta-cruz-el-eden.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Floreana Island, Asilo de Paz",Floreana,37,27,33,52,,,Dry,Easy,,"Historically significant, this site is 5 mi from town. Along the trail to the top of a 1476 ft tall hill, you will pass through a Scalesia tree forest and see a corral where Galapagos tortoises from San Cristóbal Island are kept (the native Floreana tortoises are extinct). Visitors will discover the caves where some of the first human settlers on Floreana Island stayed and also encounter a fresh water spring. Landing: Dry. Difficulty: Easy",https://www.galapagosadvisor.com/media/1180/flor-paz.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"Floreana Island, Post Office Bay",Floreana,37,25,24,37,51,49,Wet,Easy,,"In the eighteenth century, a group of whalers set up a wooden barrel to collect mail at this site, now known as Post Office Bay. A trail behind the barrel leads through palo santo and palo verde trees to a cave, which is actually a lava tube running down to the sea. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1175/flor-post-office.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Floreana Island, Black beach",Floreana,36,20,30,60,30,40,,,,"Black Beach is a point of substantial and infamous historical significance. An unofficial visitor site only visited under special arrangement. Visit the Wittmer pension and small settlement of Puerto Velasco lbarra. It's famous resident, Margaret Wittmer, arrived in Floreana in 1932 (dying there in 2000). Today, the pension is managed by her daughter. Here you can have your post cards stamped with one of four seals, sample the homemade wine. Floreana was the first island in the Archipelago to be inhabited, since it has one of the very few fresh water sources.",https://www.galapagosadvisor.com/media/1197/black-beach-floreana.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"San Cristóbal Island, Interpretation Centre",San Cristóbal,35,,30,40,,,None,Easy,,"The center, which is just outside of the town of Puerto Baquerizo Moreno, was opened in 1998 and features exhibits showcasing the natural and human history of the Galápagos and the ongoing efforts to preserve and protect the islands. Landing: None. Difficulty: Easy",https://www.galapagosadvisor.com/media/1150/san-crist-interpretation.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Santa Cruz Island, Whale Bay",Santa Cruz,31,35,30,30,20,40,Wet,Easy,,"This is a beautiful greenish sand cove. The beach contains a large amount of volcanic olivine crystals, formed when the magma was still underground. A small tortoise population from Pinzon Island lives in the area, probably left by whalers or previous inhabitants. There is the opportunity to see marine iguanas and sea birds, followed by snorkeling. Landing: Wet. Difficulty: Easy",https://www.galapagosadvisor.com/media/1129/sta-cruz-whale-bay.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
Baltra Island Airport,Baltra Island Airport,28,10,25,50,,,,,Land Iguana,"The first airport here was built by Americans during the 2nd World War - remnants of that military base can be easily observed. The latest airport here touts itself as the world’s first “green” airport. It opened in December 2012. The terminal consists of recycled steel tubes taken from oil drilling operations in the Amazon. It spreads over 6,000 square meters and required an investment of just over $24 million. The new complex uses clean, renewable technologies such as solar energy, wind farms, and seawater desalination, among other environmental innovations. It is kept cool(ish) simply by design - no air conditioning is required.",https://www.galapagosadvisor.com/media/1093/baltraairport.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131782501830000000
Navigation / Whale watching,Navigation / Whale watching,10,10,10,10,,,,,,"During a long crossing, take advantage of the seascapes and take some time to look for all kinds of marine life - dolphins, whales, leaping rays, and a variety of seabirds.",https://www.galapagosadvisor.com/media/1186/isabela-island-whale-watching.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
San Cristóbal Island Airport,San Cristóbal Island Airport,10,,10,10,,,,,,The only commercial jet airliner airport we know that is located walking distance from town.,https://www.galapagosadvisor.com/media/1156/san-crist-airport.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
